,name,city,state,Lat,Lng
89,Broad Brook Brewing LLC,East Windsor, CT,41.9593151,-72.6634706
90,The Lion Brewery,Wilkes-Barre, PA,41.2549502,-75.8576506
91,Madtree Brewing Company,Cincinnati, OH,39.1563291,-84.42424249999999
92,Jackie O's Pub & Brewery,Athens, OH,39.3277484,-82.10230059999999
93,Rhinegeist Brewery,Cincinnati, OH,39.1172664,-84.5201012
94,Warped Wing Brewing Company,Dayton, OH,39.7595793,-84.1861136
95,Blackrocks Brewery,Marquette, MA,46.546967,-87.394566
96,Catawba Valley Brewing Company,Morganton, NC,35.744672,-81.68567399999999
97,Tröegs Brewing Company,Hershey, PA,40.2971086,-76.6431142
98,Mission Brewery,San Diego, CA,32.707148,-117.151592
99,Christian Moerlein Brewing Company,Cincinnati, OH,39.113997,-84.514775
100,West Sixth Brewing,Lexington, KY,38.059307,-84.491991
101,Coastal Extreme Brewing Company,Newport, RI,41.514309,-71.31570599999999
102,King Street Brewing Company,Anchorage, AK,61.13916099999999,-149.8794716
103,Beer Works Brewery,Lowell, MA,42.6506706,-71.3165319
104,Lone Tree Brewing Company,Lone Tree, CO,39.562658,-104.892868
105,Four String Brewing Company,Columbus, OH,39.9888951,-83.0327796
106,Glabrous Brewing Company,Pineland, ME,,
107,Thomas Hooker Brewing Company,Bloomfield, CT,,
108,"Woodstock Inn, Station & Brewery",North Woodstock, NH,,
109,Renegade Brewing Company,Denver, CO,,
110,Mother Earth Brew Company,Vista, CA,,
111,Black Market Brewing Company,Temecula, CA,,
112,Vault Brewing Company,Yardley, PA,,
113,Jailbreak Brewing Company,Laurel, MD,,
114,Smartmouth Brewing Company,Norfolk, VA,,
115,Base Camp Brewing Co.,Portland, OR,,
116,Alameda Brewing,Portland, OR,,
117,Southern Star Brewing Company,Conroe, TX,,
118,Steamworks Brewing Company,Durango, CO,,
119,Horny Goat Brew Pub,Milwaukee, WI,,
120,Cheboygan Brewing Company,Cheboygan, MI,,
121,Center of the Universe Brewing C...,Ashland, VA,,
122,Ipswich Ale Brewery,Ipswich, MA,,
123,Griffin Claw Brewing Company,Birmingham, MI,,
124,Karbach Brewing Company,Houston, TX,,
125,Uncle Billy's Brewery and Smokeh...,Austin, TX,,
126,Deep Ellum Brewing Company,Dallas, TX,,
127,Real Ale Brewing Company,Blanco, TX,,
128,Straub Brewery,St Mary's, PA,,
129,Shebeen Brewing Company,Wolcott, CT,,
130,Stevens Point Brewery,Stevens Point, WI,,
131,Weston Brewing Company,Weston, MO,,
132,Southern Prohibition Brewing Com...,Hattiesburg, MS,,
133,Minhas Craft Brewery,Monroe, WI,,
134,Pug Ryan's Brewery,Dillon, CO,,
135,Hops & Grains Brewing Company,Austin, TX,,
136,Sietsema Orchards and Cider Mill,Ada, MI,,
137,Summit Brewing Company,St Paul, MN,,
138,Core Brewing & Distilling Company,Springdale, AR,,
139,Independence Brewing Company,Austin, TX,,
140,Cigar City Brewing Company,Tampa, FL,,
141,Third Street Brewhouse,Cold Spring, MN,,
142,Narragansett Brewing Company,Providence, RI,,
143,Grimm Brothers Brewhouse,Loveland, CO,,
144,Cisco Brewers,Nantucket, MA,,
145,Angry Minnow,Hayward, WI,,
146,Platform Beer Company,Cleveland, OH,,
147,Odyssey Beerwerks,Arvada, CO,,
148,Lonerider Brewing Company,Raleigh, NC,,
149,Oakshire Brewing,Eugene, OR,,
150,Fort Pitt Brewing Company,Latrobe, PA,,
151,Tin Roof Brewing Company,Baton Rouge, LA,,
152,Three Creeks Brewing,Sisters, OR,,
153,2 Towns Ciderhouse,Corvallis, OR,,
154,Caldera Brewing Company,Ashland, OR,,
155,Greenbrier Valley Brewing Company,Lewisburg, WV,,
156,Phoenix Ale Brewery,Phoenix, AZ,,
157,Lumberyard Brewing Company,Flagstaff, AZ,,
158,Uinta Brewing Company,Salt Lake City, UT,,
159,Four Peaks Brewing Company,Tempe, AZ,,
160,Martin House Brewing Company,Fort Worth, TX,,
161,Right Brain Brewery,Traverse City, MI,,
162,Sly Fox Brewing Company,Phoenixville, PA,,
163,Round Guys Brewing,Lansdale, PA,,
164,Great Crescent Brewery,Aurora, IN,,
165,Oskar Blues Brewery,Longmont, CO,,
166,Boxcar Brewing Company,West Chester, PA,,
167,High Hops Brewery,Windsor, CO,,
168,Crooked Fence Brewing Company,Garden City, ID,,
169,Everybody's Brewing,White Salmon, WA,,
170,Anderson Valley Brewing Company,Boonville, CA,,
171,Fiddlehead Brewing Company,Shelburne, VT,,
172,Evil Twin Brewing,Brooklyn, NY,,
173,New Orleans Lager & Ale Brewing ...,New Orleans, LA,,
174,Spiteful Brewing Company,Chicago, IL,,
175,Rahr & Sons Brewing Company,Fort Worth, TX,,
176,18th Street Brewery,Gary, IN,,
177,Cambridge Brewing Company,Cambridge, MA,,
178,Carolina Brewery,Pittsboro, NC,,
179,Frog Level Brewing Company,Waynesville, NC,,
180,Wild Wolf Brewing Company,Nellysford, VA,,
181,COOP Ale Works,Oklahoma City, OK,,
182,Seventh Son Brewing Company,Columbus, OH,,
183,Oasis Texas Brewing Company,Austin, TX,,
184,Vander Mill Ciders,Spring Lake, MI,,
185,St. Julian Winery,Paw Paw, MI,,
186,Pedernales Brewing Company,Fredericksburg, TX,,
187,Mother's Brewing,Springfield, MO,,
188,Modern Monks Brewery,Lincoln, NE,,
189,Two Beers Brewing Company,Seattle, WA,,
190,Snake River Brewing Company,Jackson, WY,,
191,Capital Brewery,Middleton, WI,,
192,Anthem Brewing Company,Oklahoma City, OK,,
193,Goodlife Brewing Co.,Bend, OR,,
194,Breakside Brewery,Portland, OR,,
195,Goose Island Brewery Company,Chicago, IL,,
196,Burnside Brewing Co.,Portland, OR,,
197,Hop Valley Brewing Company,Springfield, OR,,
198,Worthy Brewing Company,Bend, OR,,
199,Occidental Brewing Company,Portland, OR,,
200,Fearless Brewing Company,Estacada, OR,,
201,Upland Brewing Company,Bloomington, IN,,
202,Mehana Brewing Co.,Hilo, HI,,
203,Hawai'i Nui Brewing Co.,Hilo, HI,,
204,People's Brewing Company,Lafayette, IN,,
205,Fort George Brewery,Astoria, OR,,
206,Branchline Brewing Company,San Antonio, TX,,
207,Kalona Brewing Company,Kalona, IA,,
208,Modern Times Beer,San Diego, CA,,
209,Temperance Beer Company,Evanston, IL,,
210,Wisconsin Brewing Company,Verona, WI,,
211,Crow Peak Brewing Company,Spearfish, SD,,
212,Grapevine Craft Brewery,Farmers Branch, TX,,
213,Buffalo Bayou Brewing Company,Houston, TX,,
